cuenta|descri|cta_raiz|cta_niv3|cn_nivel|||
2150010100|IMPUESTOS MUNICIPALES POR PAGAR|2100000000|2150000000|5|||
2150020000|IMPUESTO NACIONAL A LA PROPIEDAD DE BIENES INMUEBLES POR PAGAR|2100000000|2150000000|4|||
2150020100|IMPUESTO NACIONAL A LA PROPIEDAD DE BIENES INMUEBLES POR PAGAR|2100000000|2150000000|5|||
2160000000|PROVISIONES|2100000000|2160000000|3|||
2160010000|INGRESOS DIFERIDOS|2100000000|2160000000|4|||
2160010100|INGRESOS DIFERIDOS|2100000000|2160000000|5|||
2160020000|IVA CREDITO FISCAL POR RECAUDAR|2100000000|2160000000|4|||
2160020100|IVA CREDITO FISCAL POR RECAUDAR|2100000000|2160000000|5|||
2170000000|OTROS PASIVOS CORRIENTES|2100000000|2170000000|3|||
2170010000|CUENTAS POR PAGAR EMPRESAS RELACIONADAS|2100000000|2170000000|4|||
2170010100|CUENTAS POR PAGAR EMPRESAS RELACIONADAS|2100000000|2170000000|5|||
2180000000|ANTICIPOS DE CLIENTES|2100000000|2180000000|3|||
2180010000|ANTICIPO DE CLIENTES POR VENTAS |2100000000|2180000000|4|||
2180010100|ANTICIPOS POR VENTAS|2100000000|2180000000|5|||
2180010200|ANTICIPO POR OTRAS VENTAS|2100000000|2180000000|5|||
2180020100|ANTICIPO POR VENTA DE FIERROS, CHATRRAS Y OTROS|2100000000|2180000000|5|||
2200000000|PASIVOS NO CORRIENTES|2200000000||2|||
2210000000|OBLIGACIONES BANCARIAS Y FINANCIERAS A LARGO PLAZO|2200000000|2210000000|3|||
2210010000|PRESTAMOS BANCARIOS A LARGO PLAZO|2200000000|2210000000|4|||
2210010100|PRESTAMOS BANCARIOS A LARGO PLAZO|2200000000|2210000000|5|||
2210020000|OTROS PASIVOS FINANCIEROS A LARGO PLAZO|2200000000|2210000000|4|||
2210020100|CUENTAS POR PAGAR A LARGO PLAZO|2200000000|2210000000|5|||
2210020200|DOCUMENTOS POR PAGAR A LARGO PLAZO|2200000000|2210000000|5|||
2210020300|CUENTAS POR PAGAR A EMPRESAS RELACIONADAS A LARGO |2200000000|2210000000|5|||
